Absolute Magnitude,Est Dia in KM(max),Relative Velocity km per sec,Miss Dist.(lunar),Orbit Uncertainity,Minimum Orbit Intersection,Eccentricity,Semi Major Axis,Inclination,Asc Node Longitude,Perihelion Distance,Mean Anomaly,Hazardous
21.6,0.284472297,6.115834389,163.1787109,5,0.0252819,0.425549083,1.407011303,6.025981287,314.3739134,0.808258933,264.8375333,TRUE
21.3,0.326617897,18.11398503,148.99263,3,0.186935,0.351674305,1.107775954,28.41299637,136.7172417,0.718199616,173.741112,FALSE
20.3,0.517654482,7.590711162,19.82188988,0,0.0430579,0.348248262,1.458823814,4.237961003,259.4759789,0.950790957,292.8936538,TRUE
27.4,0.019680675,11.1738745,110.990387,6,0.0055118,0.216578308,1.25590289,7.905894348,57.17326613,0.983901567,68.74100662,FALSE
21.6,0.284472297,9.840831054,158.6467133,1,0.034798,0.210447943,1.225614737,16.79338166,84.62930679,0.967686636,135.1421327,TRUE
19.6,0.714562102,10.80884396,152.7932739,1,0.272213,0.563441073,1.32353218,17.92775064,178.9719508,0.577799788,354.2373683,FALSE
19.6,0.714562102,10.80884159,152.7926636,1,0.272213,0.56344111,1.323532162,17.92774838,178.9719526,0.577799731,354.2373962,FALSE
19.2,0.859092601,24.42188399,50.25069427,0,0.0987582,0.449762796,1.237474536,34.69512745,112.5629844,0.680904529,186.7769323,FALSE
17.8,1.636967205,17.37378384,139.3720551,0,0.109354,0.23817901,1.145550849,22.21521029,80.21113209,0.872704682,182.2364315,FALSE
21.5,0.297879063,12.89960972,59.05243301,0,0.0169065,0.551388807,0.876125367,2.059576978,2.613682369,0.393039646,119.8613823,TRUE
22.4,0.196806745,22.42136631,78.2045517,6,0.000317965,0.475819477,0.813876725,23.18568668,117.111224,0.426618327,5.556806413,FALSE
25.8,0.041118757,17.27461146,167.6650543,4,0.00186378,0.204840678,1.240789318,13.74423321,161.9335186,0.986625193,46.68495945,FALSE
25,0.059434687,12.11850995,139.9627533,6,0.0187898,0.326860712,0.930233744,8.333753552,20.49127087,0.62617688,66.77697674,FALSE
19.1,0.899580388,10.82992629,167.525177,0,0.214004,0.149357963,1.322923788,21.26523155,122.4368332,1.125334586,15.23187455,FALSE
18.8,1.032856481,39.60532791,117.0746613,0,0.102643,0.861093331,1.982738584,10.02263604,163.2099234,0.275415613,37.51725738,FALSE
25.2,0.054205079,25.21128858,192.9338837,6,0.0119773,0.441694355,0.837557008,19.76759211,243.6149509,0.467612806,96.60735473,FALSE
20,0.594346868,3.089003929,92.90273285,0,0.240288,0.37754936,1.95815426,5.660561156,112.164417,1.218854372,82.35082443,FALSE
21,0.375007522,20.01924193,185.9758453,1,0.0984179,0.452792293,0.907864593,8.27869574,114.3798293,0.496790502,36.16756329,FALSE
22.3,0.206081961,8.526320844,179.4298401,3,0.0259126,0.25973232,1.166519916,5.035044226,28.85202161,0.863536992,179.6031186,FALSE
22.7,0.171411509,7.919524045,41.72844696,4,0.0525422,0.151415852,0.913730316,5.860414923,177.8573023,0.775377062,203.9869516,FALSE
26.1,0.03581294,4.655478593,99.38494873,5,0.018587,0.171432883,0.939138959,11.94779477,229.0663218,0.77813966,314.5094251,FALSE
20.6,0.450858206,2.164372849,164.4887085,2,0.183818,0.407470352,1.978471309,4.061695563,142.2597511,1.172302908,15.11056876,FALSE
21.7,0.271668934,28.41895426,18.88259506,1,0.0128745,0.868418907,0.906733743,4.03507427,342.7842082,0.119309016,303.9792986,TRUE
23.9,0.098637028,10.55151977,7.678170204,3,0.0109543,0.398820008,1.357919278,3.854342069,341.2186362,0.8163539,54.31490079,FALSE
23.9,0.098637028,17.56490765,168.845047,1,0.0453154,0.397381006,0.94032584,11.60766472,195.3700872,0.566658212,255.1877435,FALSE
21.3,0.326617897,19.22316546,39.69672394,4,0.0140066,0.249424883,1.183993437,35.2402425,149.1565599,0.888676013,141.0296512,TRUE
26.989,0.02378154,7.16414806,82.31118774,7,0.0071428,0.317906126,1.034367661,4.008314775,322.7144945,0.705535845,92.63701924,FALSE
19.3,0.820427065,13.57630264,136.4397736,0,0.00132059,0.190284255,1.189560559,5.883903318,251.5911063,0.963205914,154.0217068,TRUE
22.6,0.179489885,11.47029804,20.13867188,0,0.0341962,0.428252611,1.234937694,5.850410278,151.2892419,0.706072403,178.6926558,FALSE
23.8,0.103285648,11.93064253,37.944664,0,0.052677,0.386458786,0.762974434,20.83376792,352.9223652,0.468116261,203.6522586,FALSE
28.6,0.011325046,9.874143162,57.06629181,6,0.00220111,0.229959584,1.176188921,1.990548432,336.8735047,0.905713006,157.610209,FALSE
21.2,0.342010925,15.93870716,67.25922394,6,0.0667857,0.437398953,1.442414905,24.56842188,151.7319137,0.811504136,317.5623087,FALSE
22.8,0.163696721,11.74041348,129.6083069,6,0.0452308,0.51390657,0.865355365,6.812692898,64.12627503,0.420643557,140.1980047,FALSE
23.8,0.103285648,11.93061192,37.94451904,0,0.0515902,0.386445067,0.762953501,20.83340837,352.9209235,0.468113884,203.0327732,FALSE
23.6,0.113250461,3.838016764,33.64254761,0,0.0231683,0.1755281,1.08505392,1.499707987,143.9720934,0.894596466,343.2780838,FALSE
19.8,0.651688382,14.65060718,191.9521637,0,0.00864628,0.659670171,1.039069958,1.660280613,211.1661459,0.353626501,339.0708465,TRUE
21.7,0.271668934,7.514875357,194.1811676,0,0.072723,0.180694935,1.298712854,2.883848268,42.77459458,1.064042019,282.4479213,FALSE
20.1,0.567596853,14.38282119,163.7558441,0,0.286119,0.608529113,1.067729565,19.76609421,228.3483096,0.41798504,203.254479,FALSE
